"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue"
290,2011,"Indore","2011-05-13","Kochi Tuskers Kerala","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"KD Karthik","Holkar Cricket Stadium"
291,2011,"Bangalore","2011-05-14","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",1,"Royal Challengers Bangalore",0,4,"CH Gayle","M Chinnaswamy Stadium"
292,2011,"Mumbai","2011-05-14","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal",0,"Deccan Chargers",10,0,"A Mishra","Wankhede Stadium"
293,2011,"Dharamsala","2011-05-15","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Kings XI Punjab",29,0,"PP Chawla","Himachal Pradesh Cricket Association Stadium"
294,2011,"Indore","2011-05-15","Rajasthan Royals","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,8,"BJ Hodge","Holkar Cricket Stadium"
295,2011,"Mumbai","2011-05-16","Pune Warriors","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,6,"A Mishra","Dr DY Patil Sports Academy"
296,2011,"Dharamsala","2011-05-17","Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",111,0,"AC Gilchrist","Himachal Pradesh Cricket Association Stadium"
297,2011,"Chennai","2011-05-18","Chennai Super Kings","Kochi Tuskers Kerala","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",11,0,"WP Saha","MA Chidambaram Stadium, Chepauk"
298,2011,"Mumbai","2011-05-19","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"YK Pathan","Dr DY Patil Sports Academy"
299,2011,"Mumbai","2011-05-20","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","normal",0,"Rajasthan Royals",0,10,"SR Watson","Wankhede Stadium"
300,2011,"Dharamsala","2011-05-21","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Deccan Chargers",82,0,"S Dhawan","Himachal Pradesh Cricket Association Stadium"
301,2011,"Delhi","2011-05-21","Delhi Daredevils","Pune Warriors","Delhi Daredevils","bat","no result",0,"",0,0,"","Feroz Shah Kotla"
302,2011,"Bangalore","2011-05-22","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,8,"CH Gayle","M Chinnaswamy Stadium"
303,2011,"Kolkata","2011-05-22","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"JEC Franklin","Eden Gardens"
304,2011,"Mumbai","2011-05-24","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,6,"SK Raina","Wankhede Stadium"
305,2011,"Mumbai","2011-05-25","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"MM Patel","Wankhede Stadium"
306,2011,"Chennai","2011-05-27","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Royal Challengers Bangalore",43,0,"CH Gayle","MA Chidambaram Stadium, Chepauk"
307,2011,"Chennai","2011-05-28","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",58,0,"M Vijay","MA Chidambaram Stadium, Chepauk"
308,2012,"Chennai","2012-04-04","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,8,"RE Levi","MA Chidambaram Stadium, Chepauk"
309,2012,"Kolkata","2012-04-05","Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,8,"IK Pathan","Eden Gardens"
310,2012,"Mumbai","2012-04-06","Pune Warriors","Mumbai Indians","Mumbai Indians","field","normal",0,"Pune Warriors",28,0,"SPD Smith","Wankhede Stadium"
311,2012,"Jaipur","2012-04-06","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Rajasthan Royals",31,0,"AM Rahane","Sawai Mansingh Stadium"
312,2012,"Bangalore","2012-04-07","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Royal Challengers Bangalore",20,0,"AB de Villiers","M Chinnaswamy Stadium"
313,2012,"Visakhapatnam","2012-04-07","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","normal",0,"Chennai Super Kings",74,0,"RA Jadeja","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
314,2012,"Jaipur","2012-04-08","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Rajasthan Royals",22,0,"BJ Hodge","Sawai Mansingh Stadium"
315,2012,"Pune","2012-04-08","Pune Warriors","Kings XI Punjab","Pune Warriors","bat","normal",0,"Pune Warriors",22,0,"MN Samuels","Subrata Roy Sahara Stadium"
316,2012,"Visakhapatnam","2012-04-09","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal",0,"Mumbai Indians",0,5,"RG Sharma","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
317,2012,"Bangalore","2012-04-10","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kolkata Knight Riders",42,0,"L Balaji","M Chinnaswamy Stadium"
318,2012,"Delhi","2012-04-10","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,8,"M Morkel","Feroz Shah Kotla"
319,2012,"Mumbai","2012-04-11","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Mumbai Indians",27,0,"KA Pollard","Wankhede Stadium"
320,2012,"Chennai","2012-04-12","Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore","bat","normal",0,"Chennai Super Kings",0,5,"F du Plessis","MA Chidambaram Stadium, Chepauk"
321,2012,"Chandigarh","2012-04-12","Pune Warriors","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"AD Mascarenhas","Punjab Cricket Association Stadium, Mohali"
322,2012,"Kolkata","2012-04-13","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Kolkata Knight Riders",0,5,"Shakib Al Hasan","Eden Gardens"
323,2012,"Delhi","2012-04-19","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Delhi Daredevils",0,5,"KP Pietersen","Feroz Shah Kotla"
324,2012,"Pune","2012-04-14","Chennai Super Kings","Pune Warriors","Chennai Super Kings","bat","normal",0,"Pune Warriors",0,7,"JD Ryder","Subrata Roy Sahara Stadium"
325,2012,"Kolkata","2012-04-15","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kings XI Punjab",2,0,"SP Narine","Eden Gardens"
326,2012,"Bangalore","2012-04-15","Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",59,0,"AM Rahane","M Chinnaswamy Stadium"
327,2012,"Mumbai","2012-04-16","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,7,"S Nadeem","Wankhede Stadium"
328,2012,"Jaipur","2012-04-17","Deccan Chargers","Rajasthan Royals","Deccan Chargers","bat","normal",0,"Rajasthan Royals",0,5,"BJ Hodge","Sawai Mansingh Stadium"
329,2012,"Bangalore","2012-04-17","Pune Warriors","Royal Challengers Bangalore","Pune Warriors","bat","normal",0,"Royal Challengers Bangalore",0,6,"CH Gayle","M Chinnaswamy Stadium"
330,2012,"Chandigarh","2012-04-18","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal",0,"Kolkata Knight Riders",0,8,"G Gambhir","Punjab Cricket Association Stadium, Mohali"
331,2012,"Hyderabad","2012-05-10","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Delhi Daredevils",0,9,"DA Warner","Rajiv Gandhi International Stadium, Uppal"
332,2012,"Chennai","2012-04-19","Chennai Super Kings","Pune Warriors","Pune Warriors","field","normal",0,"Chennai Super Kings",13,0,"KMDN Kulasekara","MA Chidambaram Stadium, Chepauk"
333,2012,"Chandigarh","2012-04-20","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,5,"CH Gayle","Punjab Cricket Association Stadium, Mohali"
334,2012,"Chennai","2012-04-21","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,7,"F du Plessis","MA Chidambaram Stadium, Chepauk"
335,2012,"Delhi","2012-04-21","Pune Warriors","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Pune Warriors",20,0,"SC Ganguly","Feroz Shah Kotla"
336,2012,"Mumbai","2012-04-22","Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","normal",0,"Kings XI Punjab",0,6,"SE Marsh","Wankhede Stadium"
337,2012,"Cuttack","2012-04-22","Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,5,"B Lee","Barabati Stadium"
338,2012,"Jaipur","2012-04-23","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Royal Challengers Bangalore",46,0,"AB de Villiers","Sawai Mansingh Stadium"
339,2012,"Pune","2012-04-24","Pune Warriors","Delhi Daredevils","Pune Warriors","bat","normal",0,"Delhi Daredevils",0,8,"V Sehwag","Subrata Roy Sahara Stadium"
340,2012,"Chandigarh","2012-04-25","Kings XI Punjab","Mumbai Indians","Kings XI Punjab","bat","normal",0,"Mumbai Indians",0,4,"AT Rayudu","Punjab Cricket Association Stadium, Mohali"
341,2012,"Pune","2012-04-26","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","normal",0,"Deccan Chargers",18,0,"CL White","Subrata Roy Sahara Stadium"
342,2012,"Delhi","2012-04-27","Delhi Daredevils","Mumbai Indians","Mumbai Indians","field","normal",0,"Delhi Daredevils",37,0,"V Sehwag","Feroz Shah Kotla"
343,2012,"Chennai","2012-04-28","Kings XI Punjab","Chennai Super Kings","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",7,0,"Mandeep Singh","MA Chidambaram Stadium, Chepauk"
344,2012,"Kolkata","2012-04-28","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",47,0,"G Gambhir","Eden Gardens"
345,2012,"Delhi","2012-04-29","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",1,0,"V Sehwag","Feroz Shah Kotla"
346,2012,"Mumbai","2012-04-29","Deccan Chargers","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"DW Steyn","Wankhede Stadium"
347,2012,"Chennai","2012-04-30","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Kolkata Knight Riders",0,5,"G Gambhir","MA Chidambaram Stadium, Chepauk"
348,2012,"Cuttack","2012-05-01","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","normal",0,"Deccan Chargers",13,0,"KC Sangakkara","Barabati Stadium"
349,2012,"Jaipur","2012-05-01","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","bat","normal",0,"Delhi Daredevils",0,6,"P Negi","Sawai Mansingh Stadium"
350,2012,"Bangalore","2012-05-02","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,4,"Azhar Mahmood","M Chinnaswamy Stadium"
351,2012,"Pune","2012-05-03","Mumbai Indians","Pune Warriors","Mumbai Indians","bat","normal",0,"Mumbai Indians",1,0,"SL Malinga","Subrata Roy Sahara Stadium"
352,2012,"Chennai","2012-05-04","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",10,0,"SK Raina","MA Chidambaram Stadium, Chepauk"
353,2012,"Kolkata","2012-05-05","Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",7,0,"SP Narine","Eden Gardens"
354,2012,"Chandigarh","2012-05-05","Rajasthan Royals","Kings XI Punjab","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",43,0,"SR Watson","Punjab Cricket Association Stadium, Mohali"
355,2012,"Mumbai","2012-05-06","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,2,"DR Smith","Wankhede Stadium"
356,2012,"Bangalore","2012-05-06","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,5,"AB de Villiers","M Chinnaswamy Stadium"
357,2012,"Delhi","2012-05-07","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","normal",0,"Kolkata Knight Riders",0,6,"JH Kallis","Feroz Shah Kotla"
358,2012,"Pune","2012-05-08","Pune Warriors","Rajasthan Royals","Pune Warriors","bat","normal",0,"Rajasthan Royals",0,7,"SR Watson","Subrata Roy Sahara Stadium"
359,2012,"Hyderabad","2012-05-08","Kings XI Punjab","Deccan Chargers","Deccan Chargers","field","normal",0,"Kings XI Punjab",25,0,"Mandeep Singh","Rajiv Gandhi International Stadium, Uppal"
360,2012,"Mumbai","2012-05-09","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"CH Gayle","Wankhede Stadium"
361,2012,"Jaipur","2012-05-10","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,4,"BW Hilfenhaus","Sawai Mansingh Stadium"
362,2012,"Pune","2012-05-11","Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","normal",0,"Royal Challengers Bangalore",35,0,"CH Gayle","Subrata Roy Sahara Stadium"
363,2012,"Kolkata","2012-05-12","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Mumbai Indians",27,0,"RG Sharma","Eden Gardens"
364,2012,"Chennai","2012-05-12","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,9,"BW Hilfenhaus","MA Chidambaram Stadium, Chepauk"
365,2012,"Jaipur","2012-05-13","Rajasthan Royals","Pune Warriors","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",45,0,"A Chandila","Sawai Mansingh Stadium"
366,2012,"Chandigarh","2012-05-13","Deccan Chargers","Kings XI Punjab","Deccan Chargers","bat","normal",0,"Kings XI Punjab",0,4,"DJ Hussey","Punjab Cricket Association Stadium, Mohali"
367,2012,"Bangalore","2012-05-14","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"AT Rayudu","M Chinnaswamy Stadium"
368,2012,"Kolkata","2012-05-14","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,5,"MEK Hussey","Eden Gardens"
369,2012,"Delhi","2012-05-15","Kings XI Punjab","Delhi Daredevils","Kings XI Punjab","bat","normal",0,"Delhi Daredevils",0,5,"UT Yadav","Feroz Shah Kotla"
370,2012,"Mumbai","2012-05-16","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Kolkata Knight Riders",32,0,"SP Narine","Wankhede Stadium"
371,2012,"Dharamsala","2012-05-17","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"AC Gilchrist","Himachal Pradesh Cricket Association Stadium"
372,2012,"Delhi","2012-05-17","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Royal Challengers Bangalore",21,0,"CH Gayle","Feroz Shah Kotla"
373,2012,"Hyderabad","2012-05-18","Rajasthan Royals","Deccan Chargers","Rajasthan Royals","bat","normal",0,"Deccan Chargers",0,5,"DW Steyn","Rajiv Gandhi International Stadium, Uppal"
374,2012,"Dharamsala","2012-05-19","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,6,"UT Yadav","Himachal Pradesh Cricket Association Stadium"
375,2012,"Pune","2012-05-19","Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",34,0,"Shakib Al Hasan","Subrata Roy Sahara Stadium"
376,2012,"Hyderabad","2012-05-20","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Deccan Chargers",9,0,"DW Steyn","Rajiv Gandhi International Stadium, Uppal"
377,2012,"Jaipur","2012-05-20","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","normal",0,"Mumbai Indians",0,10,"DR Smith","Sawai Mansingh Stadium"
378,2012,"Pune","2012-05-22","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",18,0,"YK Pathan","Subrata Roy Sahara Stadium"
379,2012,"Bangalore","2012-05-23","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Chennai Super Kings",38,0,"MS Dhoni","M Chinnaswamy Stadium"
380,2012,"Chennai","2012-05-25","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Chennai Super Kings",86,0,"M Vijay","MA Chidambaram Stadium, Chepauk"
381,2012,"Chennai","2012-05-27","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Kolkata Knight Riders",0,5,"MS Bisla","MA Chidambaram Stadium, Chepauk"
382,2013,"Kolkata","2013-04-03","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,6,"SP Narine","Eden Gardens"
383,2013,"Bangalore","2013-04-04","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Royal Challengers Bangalore",2,0,"CH Gayle","M Chinnaswamy Stadium"
384,2013,"Hyderabad","2013-04-05","Sunrisers Hyderabad","Pune Warriors","Pune Warriors","field","normal",0,"Sunrisers Hyderabad",22,0,"A Mishra","Rajiv Gandhi International Stadium, Uppal"
385,2013,"Delhi","2013-04-06","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",5,0,"R Dravid","Feroz Shah Kotla"
386,2013,"Chennai","2013-04-06","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Mumbai Indians",9,0,"KA Pollard","MA Chidambaram Stadium, Chepauk"
387,2013,"Pune","2013-04-07","Pune Warriors","Kings XI Punjab","Pune Warriors","bat","normal",0,"Kings XI Punjab",0,8,"M Vohra","Subrata Roy Sahara Stadium"
388,2013,"Hyderabad","2013-04-07","Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore","bat","tie",0,"Sunrisers Hyderabad",0,0,"GH Vihari","Rajiv Gandhi International Stadium, Uppal"
389,2013,"Jaipur","2013-04-08","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Rajasthan Royals",19,0,"SK Trivedi","Sawai Mansingh Stadium"
390,2013,"Mumbai","2013-04-09","Mumbai Indians","Delhi Daredevils","Mumbai Indians","bat","normal",0,"Mumbai Indians",44,0,"KD Karthik","Wankhede Stadium"
391,2013,"Chandigarh","2013-04-10","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,10,"MEK Hussey","Punjab Cricket Association Stadium, Mohali"
392,2013,"Bangalore","2013-04-11","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,8,"CH Gayle","M Chinnaswamy Stadium"
393,2013,"Pune","2013-04-11","Rajasthan Royals","Pune Warriors","Rajasthan Royals","bat","normal",0,"Pune Warriors",0,7,"AJ Finch","Subrata Roy Sahara Stadium"
394,2013,"Delhi","2013-04-12","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","bat","normal",0,"Sunrisers Hyderabad",0,3,"A Mishra","Feroz Shah Kotla"
395,2013,"Mumbai","2013-04-13","Mumbai Indians","Pune Warriors","Mumbai Indians","bat","normal",0,"Mumbai Indians",41,0,"RG Sharma","Wankhede Stadium"
396,2013,"Chennai","2013-04-13","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,4,"RA Jadeja","MA Chidambaram Stadium, Chepauk"
397,2013,"Kolkata","2013-04-14","Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",48,0,"G Gambhir","Eden Gardens"
398,2013,"Jaipur","2013-04-14","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"JP Faulkner","Sawai Mansingh Stadium"
399,2013,"Chennai","2013-04-15","Pune Warriors","Chennai Super Kings","Pune Warriors","bat","normal",0,"Pune Warriors",24,0,"SPD Smith","MA Chidambaram Stadium, Chepauk"
400,2013,"Chandigarh","2013-04-16","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kings XI Punjab",4,0,"MS Gony","Punjab Cricket Association Stadium, Mohali"
401,2013,"Bangalore","2013-04-16","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","tie",0,"Royal Challengers Bangalore",0,0,"V Kohli","M Chinnaswamy Stadium"
402,2013,"Pune","2013-04-17","Sunrisers Hyderabad","Pune Warriors","Pune Warriors","field","normal",0,"Sunrisers Hyderabad",11,0,"A Mishra","Subrata Roy Sahara Stadium"
403,2013,"Jaipur","2013-04-17","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",87,0,"AM Rahane","Sawai Mansingh Stadium"
404,2013,"Delhi","2013-04-18","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",86,0,"MEK Hussey","Feroz Shah Kotla"
405,2013,"Hyderabad","2013-04-19","Kings XI Punjab","Sunrisers Hyderabad","Kings XI Punjab","bat","normal",0,"Sunrisers Hyderabad",0,5,"GH Vihari","Rajiv Gandhi International Stadium, Uppal"
406,2013,"Kolkata","2013-04-20","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal",0,"Chennai Super Kings",0,4,"RA Jadeja","Eden Gardens"
407,2013,"Bangalore","2013-04-20","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,7,"R Vinay Kumar","M Chinnaswamy Stadium"
408,2013,"Delhi","2013-04-21","Mumbai Indians","Delhi Daredevils","Mumbai Indians","bat","normal",0,"Delhi Daredevils",0,9,"V Sehwag","Feroz Shah Kotla"
409,2013,"Chandigarh","2013-04-21","Pune Warriors","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"DA Miller","Punjab Cricket Association Stadium, Mohali"
410,2013,"Chennai","2013-04-22","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,5,"MEK Hussey","MA Chidambaram Stadium, Chepauk"
411,2013,"Bangalore","2013-04-23","Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","normal",0,"Royal Challengers Bangalore",130,0,"CH Gayle","M Chinnaswamy Stadium"
412,2013,"Dharamsala","2013-05-16","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Kings XI Punjab",7,0,"DA Miller","Himachal Pradesh Cricket Association Stadium"
413,2013,"Kolkata","2013-04-24","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","normal",0,"Mumbai Indians",0,5,"DR Smith","Eden Gardens"
414,2013,"Chennai","2013-04-25","Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","bat","normal",0,"Chennai Super Kings",0,5,"MS Dhoni","MA Chidambaram Stadium, Chepauk"
415,2013,"Kolkata","2013-04-26","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal",0,"Kolkata Knight Riders",0,6,"JH Kallis","Eden Gardens"
416,2013,"Jaipur","2013-04-27","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","bat","normal",0,"Rajasthan Royals",0,8,"JP Faulkner","Sawai Mansingh Stadium"
417,2013,"Mumbai","2013-04-27","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Mumbai Indians",58,0,"DR Smith","Wankhede Stadium"
418,2013,"Chennai","2013-04-28","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Chennai Super Kings",14,0,"MEK Hussey","MA Chidambaram Stadium, Chepauk"
419,2013,"Raipur","2013-04-28","Delhi Daredevils","Pune Warriors","Pune Warriors","field","normal",0,"Delhi Daredevils",15,0,"DA Warner","Shaheed Veer Narayan Singh International Stadium"
420,2013,"Jaipur","2013-04-29","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,4,"SV Samson","Sawai Mansingh Stadium"
421,2013,"Mumbai","2013-04-29","Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","normal",0,"Mumbai Indians",4,0,"RG Sharma","Wankhede Stadium"
422,2013,"Pune","2013-04-30","Chennai Super Kings","Pune Warriors","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",37,0,"MS Dhoni","Subrata Roy Sahara Stadium"
423,2013,"Hyderabad","2013-05-01","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","bat","normal",0,"Sunrisers Hyderabad",0,7,"I Sharma","Rajiv Gandhi International Stadium, Uppal"
424,2013,"Raipur","2013-05-01","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Delhi Daredevils",0,7,"DA Warner","Shaheed Veer Narayan Singh International Stadium"
425,2013,"Chennai","2013-05-02","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",15,0,"SK Raina","MA Chidambaram Stadium, Chepauk"
426,2013,"Pune","2013-05-02","Royal Challengers Bangalore","Pune Warriors","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",17,0,"AB de Villiers","Subrata Roy Sahara Stadium"
427,2013,"Kolkata","2013-05-03","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Kolkata Knight Riders",0,8,"YK Pathan","Eden Gardens"
428,2013,"Hyderabad","2013-05-04","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","bat","normal",0,"Sunrisers Hyderabad",0,6,"DJG Sammy","Rajiv Gandhi International Stadium, Uppal"
429,2013,"Bangalore","2013-05-14","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"AC Gilchrist","M Chinnaswamy Stadium"
430,2013,"Mumbai","2013-05-05","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Mumbai Indians",60,0,"MG Johnson","Wankhede Stadium"
431,2013,"Jaipur","2013-05-05","Pune Warriors","Rajasthan Royals","Pune Warriors","bat","normal",0,"Rajasthan Royals",0,5,"AM Rahane","Sawai Mansingh Stadium"
432,2013,"Bangalore","2013-04-09","Sunrisers Hyderabad","Royal Challengers Bangalore","Sunrisers Hyderabad","bat","normal",0,"Royal Challengers Bangalore",0,7,"V Kohli","M Chinnaswamy Stadium"
433,2013,"Jaipur","2013-05-07","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Rajasthan Royals",0,9,"AM Rahane","Sawai Mansingh Stadium"
